Kylian Mbappé, ST/LW, Paris SG, France, Value: 950, https://fifastatic.fifaindex.com/FIFA23/players/231747.png, 00001
Stevie Mallan, CM/CDM, Salford City, Scotland, Value: 62, https://fifastatic.fifaindex.com/FIFA23/players/225847.png, 11388
Dominic Baumann, ST, FSV Zwickau, Germany, Value: 62, https://fifastatic.fifaindex.com/FIFA23/players/225735.png, 11389
Dylan Bahamboula, RW/ST/RM, Livingston, Congo, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/225712.png, 11390
Terell Thomas, CB, Charlton Ath, St Lucia, Value: 64, https://fifastatic.fifaindex.com/FIFA23/players/225694.png, 11391
Julius Düker, CM/CDM/ST, Chennaiyin FC, Germany, Value: 62, https://fifastatic.fifaindex.com/FIFA23/players/225654.png, 11392
Tom King, GK, Northampton, Wales, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/225650.png, 11393
James Talbot, GK, Bohemian FC, Republic of Ireland, Value: 68, https://fifastatic.fifaindex.com/FIFA23/players/225406.png, 11394
Jack Stevens, GK, Port Vale, England, Value: 68, https://fifastatic.fifaindex.com/FIFA23/players/225342.png, 11395
Alex Bass, GK, Sunderland, England, Value: 68, https://fifastatic.fifaindex.com/FIFA23/players/225134.png, 11396
Christian Doidge, ST, Kilmarnock, Wales, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/224965.png, 11397
Dom Telford, ST, Crawley Town, England, Value: 62, https://fifastatic.fifaindex.com/FIFA23/players/224887.png, 11398
Danny Johnson, ST, Mansfield Town, England, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/224870.png, 11399
Bi Jinhao, CB/ST, Shanghai Shenhua, China PR, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/224677.png, 11400
Li Shenglong, ST/RW, Shanghai Port, China PR, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/224616.png, 11401
Cai Huikang, CDM/CM, Shanghai Port, China PR, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/224608.png, 11402
Wang Shenchao, CB/RM, Shanghai Port, China PR, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/224604.png, 11403
Rao Weihui, LWB/LB, Changchun Yatai, China PR, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/224556.png, 11404
He Chao, CM/CDM, Wuhan 3 Towns, China PR, Value: 62, https://fifastatic.fifaindex.com/FIFA23/players/224470.png, 11405
Gethin Jones, CB, Bolton, Wales, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/224447.png, 11406
Korbinian Burger, CB/LB, FC Erzgebirge Aue, Germany, Value: 62, https://fifastatic.fifaindex.com/FIFA23/players/224433.png, 11407
Max Reinthaler, CB, Wehen Wiesbaden, Italy, Value: 64, https://fifastatic.fifaindex.com/FIFA23/players/224421.png, 11408
Andy Cannon, CM, Wrexham AFC, England, Value: 66, https://fifastatic.fifaindex.com/FIFA23/players/224361.png, 11409
Tennai Watson, RB/RWB, MK Dons, England, Value: 66, https://fifastatic.fifaindex.com/FIFA23/players/224307.png, 11410
Alex Gersbach, LB/LWB, Colorado Rapids, Australia, Value: 68, https://fifastatic.fifaindex.com/FIFA23/players/224297.png, 11411
Nolan Mbemba, CM/CDM/RB, Havre AC, DR Congo, Value: 62, https://fifastatic.fifaindex.com/FIFA23/players/224095.png, 11412
MJ Williams, CDM/CM, Bolton, Wales, Value: 62, https://fifastatic.fifaindex.com/FIFA23/players/224017.png, 11413
Boris Babić, ST, FC Lugano, Switzerland, Value: 70, https://fifastatic.fifaindex.com/FIFA23/players/223967.png, 11414
Tom Pett, CM/CDM, Port Vale, England, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/223902.png, 11415
Daniel Armstrong, RM/RW/RWB, Kilmarnock, Scotland, Value: 66, https://fifastatic.fifaindex.com/FIFA23/players/223871.png, 11416
Tobias Schützenauer, GK, SK Sturm Graz, Austria, Value: 64, https://fifastatic.fifaindex.com/FIFA23/players/223868.png, 11417
Timo Königsmann, GK, SV Sandhausen, Germany, Value: 66, https://fifastatic.fifaindex.com/FIFA23/players/223823.png, 11418
George Maris, CDM/CM, Mansfield Town, England, Value: 64, https://fifastatic.fifaindex.com/FIFA23/players/223810.png, 11419
Craig MacGillivray, GK, Burton Albion, Scotland, Value: 62, https://fifastatic.fifaindex.com/FIFA23/players/223727.png, 11420
Deian Boldor, CB, AFC Chindia, Romania, Value: 64, https://fifastatic.fifaindex.com/FIFA23/players/223638.png, 11421
Gjoko Zajkov, CB, Univ. Craiova, North Macedonia, Value: 64, https://fifastatic.fifaindex.com/FIFA23/players/223568.png, 11422
Markus Ballmert, RB, SV Meppen, Germany, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/223369.png, 11423
Jarosław Jach, CB, Zagłębie Lubin, Poland, Value: 64, https://fifastatic.fifaindex.com/FIFA23/players/223306.png, 11424
Jens Jakob Thomasen, CM, Nîmes Olympique, Denmark, Value: 64, https://fifastatic.fifaindex.com/FIFA23/players/223186.png, 11425
Edoardo Lancini, CB, Palermo, Italy, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/223009.png, 11426
Liam Smith, CB/RB, Dundee United, Scotland, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/222979.png, 11427
Nathan Smith, CB, Port Vale, England, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/222625.png, 11428
Louis Reed, CDM, Mansfield Town, England, Value: 64, https://fifastatic.fifaindex.com/FIFA23/players/222477.png, 11429
Cheng Jin, LM/CDM, Zhejiang Pro, China PR, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/222440.png, 11430
Jacob Storevik, GK, Vålerenga Fotball, Norway, Value: 68, https://fifastatic.fifaindex.com/FIFA23/players/222431.png, 11431
Grant Ward, CM/RM, Bristol Rovers, England, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/222420.png, 11432
Jin Taiyan, LB/RB, Beijing Guoan, China PR, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/222299.png, 11433
Zhu Baojie, RM/LM/CM, Shanghai Shenhua, China PR, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/222282.png, 11434
Sun Ke, RM/RW/LM, Shenzhen FC, China PR, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/222248.png, 11435
Yang Xiaotian, LWB, Cangzhou FC, China PR, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/222236.png, 11436
Alexandru Buzbuchi, GK, Farul Constanța, Romania, Value: 64, https://fifastatic.fifaindex.com/FIFA23/players/222221.png, 11437
Arkadiusz Kasperkiewicz, CB/CDM, Stal Mielec, Poland, Value: 64, https://fifastatic.fifaindex.com/FIFA23/players/222164.png, 11438
Sebastian Ohlsson, CB/CDM, Degerfors IF, Sweden, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/222145.png, 11439
Lee Myung Jae, LB, Ulsan Hyundai, Korea Republic, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/222052.png, 11440
Jeff Hardeveld, LB, FC Emmen, Netherlands, Value: 62, https://fifastatic.fifaindex.com/FIFA23/players/221986.png, 11441
Paweł Zieliński, RWB/RM, Widzew Łódź, Poland, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/221970.png, 11442
Lucas Carrizo, LB, Huracán, Argentina, Value: 66, https://fifastatic.fifaindex.com/FIFA23/players/221952.png, 11443
Bilal Ould-Chikh, RW/LW, FC Volendam, Morocco, Value: 66, https://fifastatic.fifaindex.com/FIFA23/players/221907.png, 11444
Muzepper Mirahmetjan, CM/CDM, Shanghai Port, China PR, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/221847.png, 11445
Abdullah Al Shamekh, LB/RB, Al Fayha, Saudi Arabia, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/221812.png, 11446
Gwon Wan Gyu, CB/LB, FC Seoul, Korea Republic, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/221789.png, 11447
Tommy Thompson, RB/LB, SJ Earthquakes, United States, Value: 62, https://fifastatic.fifaindex.com/FIFA23/players/221709.png, 11448
Ben Sweat, LB/LWB, Sporting KC, United States, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/221684.png, 11449
Hamad Al Mansour, LB/RB, Al Nassr, Saudi Arabia, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/221498.png, 11450
Dominik Kun, CM/LM, Widzew Łódź, Poland, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/221428.png, 11451
Ryu Seung Woo, LW/RW/ST, Suwon Samsung, Korea Republic, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/221383.png, 11452
Osarenren Okungbowa, CB/CDM, WSG Tirol, Austria, Value: 64, https://fifastatic.fifaindex.com/FIFA23/players/220995.png, 11453
Morten Ågnes Konradsen, CM, FK Bodø/Glimt, Norway, Value: 64, https://fifastatic.fifaindex.com/FIFA23/players/220964.png, 11454
Carlos Rivas, LM/LW/ST, La Equidad, Colombia, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/220934.png, 11455
Valmir Sulejmani, ST/LW, FC Ingolstadt 04, Kosovo, Value: 62, https://fifastatic.fifaindex.com/FIFA23/players/220881.png, 11456
Miłosz Trojak, CB/CDM, Korona Kielce, Poland, Value: 62, https://fifastatic.fifaindex.com/FIFA23/players/220616.png, 11457
Jamal Bajandouh, CDM/CM, Al Tai, Saudi Arabia, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/220357.png, 11458
Matt Jay, CAM, Colchester, England, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/220187.png, 11459
Salih Dursun, RB/CB, Karagümrük SK, Turkey, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/220089.png, 11460
Jimmy Medranda, LB/LM/LWB, Columbus Crew, Colombia, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/219871.png, 11461
Alperen Uysal, GK, Antalyaspor, Turkey, Value: 64, https://fifastatic.fifaindex.com/FIFA23/players/219800.png, 11462
Sam Nicholson, LM/RM, Colorado Rapids, Scotland, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/219684.png, 11463
Facundo Cardozo, LB/CB, Arsenal, Argentina, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/219625.png, 11464
Leandro Garate, ST, Unión Española, Argentina, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/219614.png, 11465
Conor Shaughnessy, CB, Burton Albion, Republic of Ireland, Value: 64, https://fifastatic.fifaindex.com/FIFA23/players/219551.png, 11466
Ollie Palmer, ST, Wrexham AFC, England, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/219550.png, 11467
David Wheeler, CM/RW, Wycombe, England, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/219458.png, 11468
Yoiver González, CB/RB, La Equidad, Equatorial Guinea, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/218728.png, 11469
Seàn Long, CB, Cheltenham Town, Republic of Ireland, Value: 62, https://fifastatic.fifaindex.com/FIFA23/players/218591.png, 11470
Will Aimson, CB, Exeter City, England, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/218576.png, 11471
Ismael Benegas, CB, Club Nacional, Paraguay, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/218192.png, 11472
Chris Long, ST/LM, Crewe Alexandra, England, Value: 62, https://fifastatic.fifaindex.com/FIFA23/players/216795.png, 11473
Alex Gogić, CDM/CB, St. Mirren, Cyprus, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/216526.png, 11474
Florian Kath, LW/LB, 1. FC Magdeburg, Germany, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/216508.png, 11475
Aleksandar Pantić, CB/RB, CD Lugo, Serbia, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/216472.png, 11476
Jack Payne, CM, Charlton Ath, England, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/216467.png, 11477
Francisco Di Franco, CM/RM/LM, Atlético Tucumán, Argentina, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/216411.png, 11478
Connor Randall, RB/LB, Ross County, England, Value: 62, https://fifastatic.fifaindex.com/FIFA23/players/216299.png, 11479
Fabio Kaufmann, ST/RM, Braunschweig, Germany, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/216260.png, 11480
Kayden Jackson, ST/LW, Ipswich, England, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/216227.png, 11481
Oliver Lund, CB/LWB, AGF, Denmark, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/215940.png, 11482
Yann Boé-Kane, CDM/CB, Quevilly Rouen, France, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/215786.png, 11483
Thomas Mikkelsen, GK, Brøndby IF, Denmark, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/215693.png, 11484
Alexandru Vlad, LWB/LM, FC Voluntari, Romania, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/215594.png, 11485
Fernando Godoy, CM/CDM, Huracán, Argentina, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/214969.png, 11486
Mohammed Qasem, LB, Al Nassr, Saudi Arabia, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/214923.png, 11487
Fabio Vázquez, CM/CDM, Patronato, Argentina, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/214666.png, 11488
Cameron Dawson, GK, Sheffield Wed, England, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/214088.png, 11489
Bjørn Inge Utvik, CB, Sarpsborg 08, Norway, Value: 70, https://fifastatic.fifaindex.com/FIFA23/players/213864.png, 11490
Alan Costa, CB, Bengaluru FC, Brazil, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/213858.png, 11491
Marcin Flis, CB, Stal Mielec, Poland, Value: 62, https://fifastatic.fifaindex.com/FIFA23/players/213855.png, 11492
Sean Goss, CM/CDM, Motherwell, England, Value: 62, https://fifastatic.fifaindex.com/FIFA23/players/213695.png, 11493
Josh Harrop, LM, Northampton, England, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/213692.png, 11494
Isak Ssewankambo, CDM/CM/CB, IFK Norrköping, Sweden, Value: 64, https://fifastatic.fifaindex.com/FIFA23/players/213670.png, 11495
Stephen O'Donnell, RB/LB, Motherwell, Scotland, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/213570.png, 11496
Cameron Norman, RWB/RB, Newport County, England, Value: 62, https://fifastatic.fifaindex.com/FIFA23/players/213151.png, 11497
Aaron McGowan, RB, Northampton, England, Value: 66, https://fifastatic.fifaindex.com/FIFA23/players/213127.png, 11498
Abdulfatah Aseri, RM/CAM, Al Nassr, Saudi Arabia, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/213007.png, 11499
Jón Daði Böðvarsson, ST, Bolton, Iceland, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/212992.png, 11500
Steven Luštica, CDM/CAM, Western United, Australia, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/212989.png, 11501
Nouh Al Mousa, CDM/CM, Al Fateh, Saudi Arabia, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/212971.png, 11502
Scott Galloway, RB/LB, Melbourne City, Australia, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/212923.png, 11503
Lee Jeong Hyeop, ST, Gangwon FC, Korea Republic, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/212817.png, 11504
Kim Seung Dae, ST/CAM/RM, Pohang Steelers, Korea Republic, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/212791.png, 11505
Bartosz Kwiecień, CDM/CB, Korona Kielce, Poland, Value: 62, https://fifastatic.fifaindex.com/FIFA23/players/212736.png, 11506
Alexander Blomqvist, CB, GIF Sundsvall, Sweden, Value: 64, https://fifastatic.fifaindex.com/FIFA23/players/212644.png, 11507
Sullay Kaikai, LW/CAM/RWB, MK Dons, Sierra Leone, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/212493.png, 11508
Markus Lackner, CB/CDM, SV Ried, Austria, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/212418.png, 11509
Filippo Berra, RB, Südtirol, Italy, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/212152.png, 11510
Koo Ja Ryong, CB, Jeonbuk Hyundai, Korea Republic, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/212018.png, 11511
Haris Tabakovic, ST, FK Austria Wien, Switzerland, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/212002.png, 11512
Seán Hoare, CB, Shamrock Rovers, Republic of Ireland, Value: 62, https://fifastatic.fifaindex.com/FIFA23/players/211978.png, 11513
Dominic Gape, CDM/CM, Wycombe, England, Value: 62, https://fifastatic.fifaindex.com/FIFA23/players/211928.png, 11514
Sandrino Braun-Schumacher, CB, SC Freiburg II, Germany, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/211917.png, 11515
Marius Willsch, RB/RM/RWB, 1860 München, Germany, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/211888.png, 11516
Quirin Moll, CDM/CB, 1860 München, Germany, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/211881.png, 11517
Manfred Starke, ST/CAM/CM, VfB Oldenburg, Namibia, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/211850.png, 11518
Patryk Stępiński, CB/RWB, Widzew Łódź, Poland, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/211667.png, 11519
Greg Leigh, LWB/LB, Ipswich, Jamaica, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/211594.png, 11520
Shane O'Neill, CB, Toronto FC, United States, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/211581.png, 11521
Dan Sweeney, CB, Stevenage, England, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/211217.png, 11522
Declan John, LWB/LB, Bolton, Wales, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/211204.png, 11523
Sam Long, RB/CB, Oxford United, England, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/211203.png, 11524
Madallah Al Olayan, RB/LB, Al Ittihad, Saudi Arabia, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/211152.png, 11525
Nawaf Al Subhi, CB, Al Adalah, Saudi Arabia, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/211141.png, 11526
Dario Del Fabro, CB, Cittadella, Italy, Value: 62, https://fifastatic.fifaindex.com/FIFA23/players/211067.png, 11527
Alex Vallejo, CDM/CB, Stal Mielec, Spain, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/211001.png, 11528
Abdullah Al Fahad, CB, Al Raed, Saudi Arabia, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/210898.png, 11529
Aljaž Struna, CB, Perugia, Slovenia, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/210879.png, 11530
Ali Al Zaqan, RM/LM/RB, Al Fayha, Saudi Arabia, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/210792.png, 11531
Callum Paterson, ST, Sheffield Wed, Scotland, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/210724.png, 11532
Nasser Chamed, CAM/RM, AFC Chindia, Comoros, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/210706.png, 11533
Lasse Nilsen, LWB/LM, Tromsø IL, Norway, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/210691.png, 11534
Leonardo Capezzi, CM/CDM, Perugia, Italy, Value: 62, https://fifastatic.fifaindex.com/FIFA23/players/210548.png, 11535
Markus Kuster, GK, FC Winterthur, Austria, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/210476.png, 11536
Elliot Lee, CM/CAM, Wrexham AFC, England, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/210108.png, 11537
Orhan Ademi, ST, VfB Oldenburg, Switzerland, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/209965.png, 11538
Marquinhos Pedroso, LB, CS Mioveni, Brazil, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/209722.png, 11539
Donervon Daniels, CB, Walsall, Montserrat, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/209493.png, 11540
Awadh Khamis, LB/LM/CDM, Al Raed, Saudi Arabia, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/209223.png, 11541
Tawfiq Bu Haymid, LB, Al Fateh, Saudi Arabia, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/209177.png, 11542
Kieron Morris, RM, Tranmere Rovers, England, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/208852.png, 11543
Mal Benning, LWB, Port Vale, England, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/208812.png, 11544
Jordan Moore-Taylor, CB, Forest Green, England, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/208645.png, 11545
Marco Armellino, CM/CDM, Modena, Italy, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/208590.png, 11546
Kolja Pusch, RM/CAM, MSV Duisburg, Germany, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/208589.png, 11547
Alex Gilbey, CM, Stevenage, England, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/208302.png, 11548
Mart Lieder, ST, FC Emmen, Netherlands, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/207741.png, 11549
Abdullah Al Hafith, CB, Al Wehda, Saudi Arabia, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/207716.png, 11550
Jakob Haugaard, GK, Tromsø IL, Denmark, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/207633.png, 11551
Kelyn Rowe, CM/RM/RWB, Sounders FC, United States, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/206631.png, 11552
Jamie Walker, CAM/LM, Bradford City, Scotland, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/206565.png, 11553
James Bolton, CB, Plymouth Argyle, England, Value: 62, https://fifastatic.fifaindex.com/FIFA23/players/206554.png, 11554
Apostolos Giannou, ST, Kerala Blasters, Australia, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/206435.png, 11555
Joe Pigott, ST, Portsmouth, England, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/206430.png, 11556
Liviu Antal, RM/ST, CS Mioveni, Romania, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/206274.png, 11557
Tom Hopper, ST, Colchester, England, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/206263.png, 11558
Jordan Turnbull, CB, Tranmere Rovers, England, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/206170.png, 11559
Timothée Dieng, CM, Gillingham, France, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/206142.png, 11560
Stefan Savić, LM/CAM/RM, Warta Poznań, Austria, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/206123.png, 11561
Ayo Obileye, CB, Livingston, England, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/206073.png, 11562
Alex Gorrín, CDM, Oxford United, Spain, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/205961.png, 11563
Charles Dunne, CB, St. Mirren, Republic of Ireland, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/205956.png, 11564
Borys Tashchy, ST/CAM, FC Erzgebirge Aue, Ukraine, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/205892.png, 11565
Ferhat Kaplan, GK, Giresunspor, Turkey, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/205874.png, 11566
Gwion Edwards, LM/RM/RWB, Ross County, Wales, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/205752.png, 11567
Alexander Juel Andersen, CB, Aalesunds FK, Denmark, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/205533.png, 11568
Max Wegner, ST, VfB Oldenburg, Germany, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/205461.png, 11569
Jack Baldwin, CB, Ross County, England, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/205393.png, 11570
Dylan McGeouch, CM/CDM, Forest Green, Scotland, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/205232.png, 11571
Charlie Raglan, CB, Cheltenham Town, England, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/205159.png, 11572
Jake Caprice, RWB/LWB, Exeter City, England, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/205019.png, 11573
Ibou Touray, LB/LWB, Salford City, Gambia, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/204979.png, 11574
Jordan White, ST, Ross County, Scotland, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/204853.png, 11575
Daniele Donnarumma, LB, Cittadella, Italy, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/204775.png, 11576
Mehdi Jeannin, GK, FCSM, Algeria, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/204773.png, 11577
Thomas Grøgaard, LB, Strømsgodset IF, Norway, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/204626.png, 11578
Ryan Inniss, CB, Charlton Ath, England, Value: 64, https://fifastatic.fifaindex.com/FIFA23/players/204499.png, 11579
Yanic Wildschut, LW, Oxford United, Suriname, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/204444.png, 11580
Rory McKenzie, LM/CAM/CM, Kilmarnock, Scotland, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/204322.png, 11581
Liam Polworth, CM, Kilmarnock, Scotland, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/204275.png, 11582
Adam Jackson, CB, Lincoln City, England, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/204219.png, 11583
Anass Achahbar, CAM/RW/ST, Sepsi OSK, Netherlands, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/204098.png, 11584
Martin Kobylański, CAM/CM, 1860 München, Poland, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/204044.png, 11585
Dennis Kempe, LWB, Wehen Wiesbaden, Germany, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/203966.png, 11586
Joel Chianese, CAM/RW, Hyderabad FC, Australia, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/203569.png, 11587
Aiden O'Brien, ST/LM, Gillingham, Republic of Ireland, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/203491.png, 11588
Lloyd Isgrove, RW/RM, Bolton, Wales, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/203331.png, 11589
Lee Burge, GK, Northampton, England, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/203175.png, 11590
Michael O'Halloran, RW/ST, St. Johnstone, Scotland, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/203043.png, 11591
Lee Woong Hee, CB, Gangwon FC, Korea Republic, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/203015.png, 11592
Shin Se Gye, CB/RB, Suwon FC, Korea Republic, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/202974.png, 11593
Kwame Karikari, ST, Chennaiyin FC, Ghana, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/202930.png, 11594
Daryl Horgan, CAM, Stevenage, Republic of Ireland, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/202663.png, 11595
Rasmus Sjöstedt, CB, Kalmar FF, Sweden, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/202660.png, 11596
Joakim Lindner, CB, Varbergs BoIS, Sweden, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/202492.png, 11597
Hernán, CB/CDM, FC Goa, Spain, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/202413.png, 11598
Magnar Ødegaard, CB/RWB, Sarpsborg 08, Norway, Value: 60, https://fifastatic.fifaindex.com/FIFA23/players/202259.png, 11599
